title,job_type,location
Data Engineer,Full Time Remote,
Data Dashboard Developer,Full Time,
Data Analyst Scripting & VBA,Full Time,
Data Analyst,Full Time,
Data Analyst Officer,Full Time,Lagos
Data Engineer,Full Time Remote,Lagos
Data Analyst,Full Time,Lagos
Data & Analytics Lead (Africa),Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Nigeria and Ghana Cluster Data Protection Office (DPO),Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Officers,Full Time,
Cloud Data Engineer,Full Time,Lagos
Data Engineering Instructor/Trainer,Full Time Remote,Abia
Data Collector (Enumerator),Full Time,Nigeria
Data Analyst – Nigeria IHP,Full Time,Sokoto
Data Comms Engineer,Full Time,Rivers
Data Warehousing Instructor/Trainer,Full Time Remote,
Data Center Design Specialist,Full Time,Lagos
Data Entry Specialist,Full Time,Abuja
Data Intern - OTL,Full Time,Borno
Data Analytics Tutor,Full Time,
IT & Data Privacy Compliance Auditor,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Centre Engineer (Facility Supervisor),Full Time,Lagos
Data Expert M/F,Full Time,Rivers
Business Head Data Centre,Full Time,Lagos
Data Analyst,Full Time,Delta
Data Engineer (CRM Specialist),Full Time,Lagos
Conflict Data Analyst,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Center Facility/ BMS Engineer,Full Time,
Data Scientist,Full Time,Lagos
Data Officer,Full Time,Ondo
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Scientist,Full Time,Lagos
Master Data Manager,Full Time,Lagos
Data Protection & Privacy Officer,Full Time,Lagos
Data Engineer (DBA),Full Time,Lagos
Medior Data Engineer,Full Time Remote,Abia
Data Entry,Full Time,
Python Data Scientist,Full Time,Abuja
"Project Driver, Data.FI",Full Time,Abuja
Data Scientist,Full Time,Lagos
Finance Data Reporting Analyst,Full Time,Lagos
MEL Data Analytics Officer,Full Time,Abuja
Business Development Manager (Data Centers),Full Time,Lagos
Data Entry Clerk,Full Time,Lagos
"O&M Officer, Data Entry",Full Time,Nigeria
Data Entry Officer,Full Time,Abuja
Data Entry Officer,Full Time,
Data Entry Officer (NYSC),Full Time Remote,Lagos
Data Centre Administrator,Full Time Hybrid,Lagos
Data Engineer,Full Time,Lagos
Product Marketing Manager - Data and AI,Full Time Remote,Lagos
Volunteer Data Analyst,Full Time,Delta
Data Entry Assistant,Full Time,Abia
Data Entry Assistant,Full Time,Abia
Data & AI Engineering Manager,Full Time Remote,Lagos
Data Analytic & Reporting Officer,Full Time,Lagos
Data Processing Teacher,Full Time,
Information Management (IM) Data & Visualisation Analyst,Full Time,Abuja
Project Coordinator - Digital/Data,Full Time Hybrid,Abuja
Data Analytics Manager,Full Time,Lagos
Analyst - Data and Analytics,Full Time,Lagos
Data Protection Officer,Full Time,Lagos
Senior Data Engineer,Full Time,Lagos
Data Engineer and Trainer,Remote,
Data Analyst and Trainer,Remote,
Data Scientist and Trainer,Remote,
Data Scientist,Full Time,Remote
Data Analyst,Full Time,
Data/Voice Roaming IREG,Full Time,
Data Engineer (CRM Specialist),Full Time,
Data Analyst,Full Time,
Data Intelligence Analyst,Full Time Remote,
"Manager - Data Channel, Sales and Distribution",Full Time,
People and Culture Officer I (Data and Systems),Full Time,
People and Culture Assistant II (Data and Systems),Full Time,
"Team Lead, Geospatial Data Architecture",Full Time,
Technical Applications & Data Engineer,Full Time,
Senior Data Analyst,Full Time,Lagos
Data & Analytics Lead (Africa),Full Time,Lagos
Data Analyst,Full Time,Lagos
"Research, Data, Monitoring & Evaluation Consultancies",Full Time,Abuja
Data Entry Analyst,Full Time,Lagos
Data for Development Analyst,Full Time,Abuja
Senior Data Engineer,Full Time,Lagos
Consumer Data Lead - Africa Digital Hub,Full Time,Lagos
Software Engineer - Data Infrastructure,Full Time,
Technical Trainer - Data Processing (ETL/ELT),Contract Full Time Remote,
Technical Trainer - Data Engineer (Core/Distributed System),Contract Full Time Remote,
Data Engineer Trainee (Hybrid),Full Time,Lagos
Data Analyst,Full Time,Lagos
Computer / Data Processing Teacher,Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Collector- Consultant,Full Time,"Ebonyi , Sokoto"
Data Analyst -Consultant,Full Time,Abuja
Manager - Data Channel,Full Time,Lagos
"Monitoring (Data)Specialist, P3",Full Time,Abuja
Revenue / Data Analyst,Full Time,
Data Journalist,Full Time,Abia
Data Scientist,Full Time,Lagos
Business Process Data Analyst,Full Time,Ogun
Data Center Operations Admin L3,Full Time,Lagos
Data Science Instructor,Full Time,Abuja
Data Entry Intern,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Capturing Officer,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Entry Officer,Full Time,
Business Process Data Manager,Full Time,Lagos
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Data Analyst,Full Time,Lagos
Technical Applications and Data Engineer,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
BI/Data Analyst,Full Time Remote,Lagos
Business Process Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
"Head, Data and Insights",Full Time,
Data Centre Support Officer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Senior Data Officer,Full Time,Lagos
Data Analyst I,Full Time,
Data Analyst,Full Time,Enugu
Operational Supervisor – (Well Testing & Data Acquisition),Full Time,Rivers
Field Service Manager– (Well Test & Data Acquisition),Full Time,Rivers
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
"Assistant Development Coordination Officer, Data Management and Results Monitoring & Reporting, NOA",Full Time,
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Clerk,Full Time,Abuja
Data Processing Specialist,Full Time,Rivers
Data Analyst,Full Time,Lagos
Junior Data Analyst,Full Time,Ogun
UN-Energy Data Intern,Full Time Remote,Abuja
Facilities and Data Centre Power System Technician,Full Time,Lagos
Data Entry,Full Time,Lagos
Electronic Data Collection Template Developer,Full Time,
Data Science Specialist- BMGF ( HCD+ ),Full Time,Abuja
Data Engineer,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Analyst - Operations,Full Time,Lagos
Data Analyst,Full Time,Bauchi
Data Processing Engineer(Trainer),Contract Full Time Remote,
AWS Data Engineer (Relocation and Hybrid),Full Time,Lagos
Data Warehousing(Hands-On)(Trainer),Full Time Remote,
Senior Data Analyst,Full Time,Lagos
Data Analysis Resource Person,Full Time,
M&E/Data Analytics Intern,Full Time,Abuja
Data Entry Operator- Monguno,Full Time,Borno
Data Entry Operator- Maiduguri,Full Time,Borno
Head Data Management & Platforms,Full Time,Lagos
Data Entry Operator,Full Time,Ogun
Data Entry (Sport),Full Time,Lagos
Data Engineering Matching Specialist,Full Time Remote,Abia
Social and Behaviour Change Research and Data specialist,Full Time,Abuja
Management Trainee (Data Analyst),Full Time,Lagos
Data Center Customer Solution Architect,Full Time,
Data Analytics and Visualization Specialist,Full Time,Abuja
Senior Data Processing Officer (CONTEDISS - 8),Full Time,Edo
Data Analyst,Full Time,Lagos
Data Protection Officer,Full Time,Ogun
Data Analyst,Full Time,Lagos
Data Assistant - Maiduguri,Full Time,Borno
Facilities and Data Centre Power System Technician,Full Time,Lagos
Data Management Associate,Full Time,Abuja
Data Analytics Manager,Full Time,
Data Protection Analyst,Full Time,Remote
Data Collectors,Full Time,
Data Analyst,Full Time,
Data Analytics Executive,Full Time,
"Associate, Program Data Management",Full Time,
"Associate, Data Analysis",Full Time,
Data Analytics Executive,Full Time,
Data Analysis RP,Full Time,
Data Engineer,Full Time,
Data Analyst / Operator,Full Time,
Business / Data Analyst,Full Time,
Data Analyst,Full Time,Lagos
"Data, Analytics & Reporting Manager",Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Assurance Analyst,Full Time,Lagos
Data Scientist,Full Time,Lagos
"Senior Technical Advisor, TQLA - Data Visualization & Utilization",Full Time,Abuja
MIS Data Analyst,Full Time,Edo
Data Intelligence Analyst,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Engineering Lead,Full Time,
Data Analyst,Full Time,Abuja
"Senior Human Resource Officer - Talent Management, Data & Systems Support",Full Time,Abuja
"Product Director, Data & Analytics",Full Time,Lagos
Data Center Operations Support Manager,Full Time,Lagos
Data Center Management Engineer,Full Time,Lagos
Facilitator in Data Science and Visualization,Full Time,"Abuja , Niger"
Data Capture Clerk - Brewing,Full Time,Lagos
Data Engineer,Full Time,Lagos
Senior Financial Systems and Data Analyst (Oracle),Full Time,Lagos
Data Analyst,Full Time,
Data Entry Officer,Full Time,Lagos
Group Data Protection Officer,Full Time,Lagos
Data Analysis Resource Person,Full Time,Oyo
Medical Data Entry Supervisor,Full Time,Zamfara
Data Analyst (Visualization Engineer),Full Time,Lagos
Senior Financial Systems and Data Analyst Personnel (Oracle),Full Time,Lagos
Data Engineer,Full Time,Lagos
Senior Data Analyst,Full Time,Abuja
Design Manager (Data Centre),Full Time,Lagos
Data Analyst,Full Time,
Senior Data Processing Officer,Full Time,Delta
Data Analyst/Research & Development Coordinator,Full Time,Lagos
"Manager, Data Analytics",Full Time,Lagos
Data Entry Clerk,Full Time,Abuja
Data Analyst - Nigeria IHP,Full Time,Ebonyi
Data Governance Specialist,Full Time,Lagos
SAP Data Officer,Full Time,Lagos
Data Entry (Sport),Full Time,Lagos
Data Analytics,Full Time,Lagos
Research and Data Input Staff,Full Time,
Junior Data Analyst (MIS),Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Collector,Contract Full Time,Nigeria
Research and Data Analyst,Full Time,Lagos
"Information Records & Data Manager, Nigeria",Full Time,Abuja
Data Entry Administrator,Full Time,Lagos
Data Analytics,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Scientist,Full Time,
Data Analyst,Full Time,Abuja
Data Analytics and Visualization Specialist,Full Time,Abuja
Data Entry Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst Trainer,Full Time,Osun
Research and Data Analyst,Full Time,Abuja
Data Engineer,Full Time Remote,Abia
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Assistant,Full Time,
Data Collectors,Full Time,"Bauchi , Nasarawa"
Data Collectors Supervisors,Full Time,Bauchi
Data Entry Operator,Full Time,Lagos
Nigeria Field Data and Administrative Coordinator,Full Time,Niger
Data Engineer,Full Time Hybrid,Lagos
Data Analyst (Buyers),Full Time,Abuja
Utilities Data Entry Analyst,Full Time,Ogun
Data Engineer-Talent Pipeline,Full Time Remote,Lagos
Data Entry Operator,Full Time,Ogun
Senior Data Analyst,Full Time,
Data Analyst,Full Time,Lagos
Data Production - Interns,Full Time Hybrid,Lagos
Data Collectors,Full Time,"Abuja , Nasarawa"
Data Entry Executive,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Business Data Analyst,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Lead Data Aggregator,Full Time,Lagos
Director of Data Science,Full Time Remote,Lagos
"Head, Data Centre",Full Time,
Graduate Data Analyst,Full Time,Lagos
Lead: Carrier Management - Voice & Data,Full Time,Lagos
Data Analyst,Full Time,Osun
Senior Data Engineer,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Information Management Officer (Data Management and Visualization),Contract Full Time,Abuja
REACH ERP Administrator & Data Analyst,Full Time,Abuja
Data Entry Operator,Full Time,Katsina
Fire Engineer (MCF / Data Centres),Full Time,Lagos
Senior Mechanical Engineer (Data Centres),Full Time,Lagos
Senior Data Analyst,Full Time,Abuja
Data Entry Operator,Full Time,Abuja
"Implementation Research and Data Officer, Maternal MMS, Nigeria",Full Time,Abuja
Data Manager,Full Time,Abuja
Senior Presales Engineer - Data Centre,Full Time,Abuja
Data Engineer,Full Time,Lagos
Data Analyst - Task Order 7,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Abuja
Computer / Data Processing Teacher,Full Time,Lagos
Senior Data Analyst,Full Time Remote,Abia
Data Lead,Full Time,Lagos
Data Analyst,Full Time,Rivers
Data Protection Officer,Full Time,Lagos
Data Entry Assistant,Full Time,Abuja
Data Engineer Intern,Full Time,Lagos
Data Analyst,Full Time,Delta
Data Capturer - 2,Full Time,Lagos
CAV Data Collector,Full Time,Abuja
Senior Data Scientist,Full Time,Lagos
Data Scientist,Full Time Remote,Lagos
Data Scientist,Full Time,Abuja
Data Analytics Manager,Full Time,Abia
Data Analyst,Full Time,Lagos
Data Analyst – Nigeria IHP – (TO3) - Azare,Full Time,Bauchi
Data Analyst – Nigeria IHP – (TO3) - Misau,Full Time,Bauchi
Data Analyst,Full Time,Lagos
Data Analytics and AI Intern,Full Time,
Data Loss Prevention Specialist,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Protection Officer,Full Time,Lagos
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Data Analyst,Full Time,Abia
Digital Officer – Data and Automation,Full Time,
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Abuja
"Senior Master Data Maintenance SAP ECC, MM",Full Time,Lagos
Junior Architect (Data Centres),Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Entry Officer,Full Time,Lagos
Data Support Officer,Full Time,Lagos
Data Science Specialist,Full Time,Abuja
Senior Master Data Maintenance (Lead),Full Time,Lagos
Junior Master Data Maintenance Analyst,Full Time,Lagos
Data Recorder / Processor (3.4u),Full Time,
Data Analyst - Dashboard Developer,Full Time,Abuja
Python Data Scientist,Full Time,Abuja
"Lead, Data Centre Administrator",Full Time,Oyo
Data Centre Administrator,Full Time,Abuja
Research/Data Analyst,Full Time,Abuja
Customer Service Data Management,Full Time,Lagos
Data Entry,Full Time,Ondo
Data Entry Administrator,Full Time,Lagos
Computer Science / Data Processing Teacher,Full Time,Lagos
Data Protection Officer,Full Time Remote,
Data Assistant,Full Time,Lagos
Senior Manager - Data and Analytics (Information Technology),Full Time,Lagos
Data Entry Specialist,Full Time,Lagos
Data Capturer (OMAO),Full Time,Lagos
Customer Address Verification / CAV Data Analyst,Full Time,Lagos
Data Entry Intern,Full Time,Lagos
Data Entry / Computer Operator,Full Time,Lagos
"Data Analyst and IT Database Manager, Nigeria Monitoring Project",Full Time,Abuja
Data Analytics and Visualization Specialist,Full Time,Lagos
Fire Engineer (MCF / Data Centres),Full Time,Lagos
Structural Engineer (Data Centre),Full Time,Lagos
Senior Project Manager (Data Centres),Full Time,Lagos
Mechanical Engineer (Data Centre),Full Time,Lagos
Junior Architect (Data Centres),Full Time,Lagos
Electrical Engineer (Data Centre),Full Time,Lagos
Data Entry Clerk,Full Time,"Ekiti , Osun"
Data Analytics and Visualization Specialist,Full Time,Abuja
Structural Engineer (Data Centre),Full Time,Lagos
Analyst - Master Data (SCM),Full Time,Lagos
Data Analytic and AI Manager,Full Time,
Data Science Specialist - BMGF (HCD+),Full Time,Abuja
"Director, Regional Channels and Data Management, CCIB - (2231966)",Full Time,Lagos
"Data, Monitoring and Evaluation Analyst, Abuja",Full Time,Abuja
Data Admin,Full Time,Lagos
Data & Software Sales Acceleration Leader,Full Time,
Data/Voice Roaming IREG,Full Time,Lagos
Business Intelligence Data Engineer,Full Time,Lagos
Data Analyst - Dashboard Developer,Full Time,Abuja
Finance System Officer - Master Data Mtc,Full Time,Rivers
Business Analyst (Data Analytics),Full Time,Rivers
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Data Entry Clerk,Full Time,Taraba
Data Science Senior Manager (Lagos),Remote,Lagos
Data Solutions Architect,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Assistant,Full Time,Borno
Data Engineering,Full Time,Lagos
Data Analyst,Full Time,Lagos
Regional Data Analyst - Ibadan,Full Time,Oyo
Data Analyst Intern,Full Time,Lagos
Data Analyst,Full Time,Lagos
"Supervisor, Medical Data Entry",Full Time,Lagos
Data Analyst,Full Time,Lagos
Web and Data Management Support,Full Time,location
Data Analyst – CDC-SPEED,Full Time,Remote
Design Manager (Data Centres),Full Time,Remote
Senior Mechanical Engineer (Data Centres),Full Time,Lagos
Data Intelligence Analyst,Full Time,Abuja
Data Analyst,Full Time,Nigeria
Sales & Data Analyst,Full Time,Lagos
Data Analyst - Dashboard Developer,Full Time,Lagos
Analyst - Data and Analytics,Full Time,Lagos
Business Data Analyst,Full Time,Nigeria
International Consultant: Data Scientist/Statistician - Food and Nutrition Systems,Full Time,Remote
HR Data Analyst,Full Time,Nigeria
Research/Data Analyst,Full Time,Lagos
Data Processing Officer,Full Time,Abuja
Data Entry Clerk,Full Time,Lagos
Senior Data Officer,Full Time,Abuja
Data Entry Clerk,Full Time,Abia
Data Manager & Analyst,Full Time,Lagos
Data Science Senior Manager,Full Time Remote,Abuja
Data Entry Officer,Full Time,Lagos
Data Systems and Student Performance Specialist,Full Time,Remote
Study and Data Officer,Full Time,Benue
Analyst - Data and Analytics.Information Technology,Full Time,Lagos
Merchandise Data Analyst (Fashion Retail),Full Time,Lagos
Data Analyst,Full Time,
Maintenance Data Capture Clerk,Full Time,Lagos
Data Centre Support Officer,Full Time,Kogi
Master Data & Pricing Officer,Full Time,
Logistics Data Analyst,Full Time,Lagos
Data Entry Operator,Full Time,Abuja
Senior Data Scientist,Full Time,Lagos
"Senior Engineer, Data Carrier Operations",Full Time,Lagos
Data Entry Intern,Full Time,Kano
Data Entry Officers,Full Time,Lagos
Regional Data and Business Intelligence Analyst,Full Time,Lagos
Data Quality Assessment State Data Assessor,Full Time,Lagos
Investigative Data Analyst,Full Time,Lagos
Regional Data and Business Intelligence Analyst,Full Time,Lagos
Data Collection Field Agent,Full Time,
Data Entry Operator,Contract Full Time,Plateau
Data Entry Operator,Full Time,Abuja
Data Analyst / Research and Development Officer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Global Customer Insights Data Lead,Full Time,Abuja
"Principal, Business Development Lead (West, East Africa and Indian Ocean Islands) Data & Services",Full Time,Lagos
Data Entry Officer,Full Time,Abia
Data Capture Clerk - Brewing / E&F,Full Time,Lagos
Data Quality Manager (Ad-hoc Staff),Full Time,Sokoto
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Data Analyst,Full Time,Oyo
Documentalist & Data Protection Manager,Full Time,Nigeria
"Technical Advisor, Data Systems and Analytics",Full Time,Edo
Project Manager - Inclusive Data,Full Time,Abuja
"Senior Coordinator, GIS Data Analytics",Full Time,Lagos
Data Processing & Computer Science Teacher,Full Time,Ondo
MNH Data Modeling Specialist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time Remote Hybrid,Lagos
"Senior Technical Advisor, Analytics & Data",Full Time,Edo
Packaging Data Capture Clerk,Full Time,Edo
Open Data - Interns,Full Time,Lagos
Data Analyst,Full Time,Lagos
Study and Data Coordinator – Digital Health for Key Populations in HIV Care and Prevention,Full Time,Lagos
Data Officer – Digital Health for Key Populations in HIV Care and Prevention,Full Time,Lagos
People Data Analyst,Full Time,Lagos
Data Analyst Assistant Trainer,Full Time Remote,Lagos
Data Collector/Data Analyst,Full Time,Taraba
Data Entry Clerk,Full Time,Lagos
Lead Data Analyst,Full Time,Lagos
Program Associate – Data Analytics and Visualization I,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Consultant,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analytics Instructor,Full Time,Lagos
Data Officer,Full Time,Abuja
Data Engineer,Full Time,Abuja
Data Analyst B2B,Full Time,Lagos
Enumerator / Data Collector,Full Time,Lagos
Operations Administrator (Agriculture / Operations / Innovation / Data Analysis) – Panda,Full Time,Abuja
Data Analyst – Nigeria IHP,Full Time,Rivers
Data Collector,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Entry Specialist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Intern,Full Time,Ondo
Senior Data Center Engineer,Full Time,Lagos
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Junior Architect (Data Centres),Full Time,Lagos
Structural Engineer (Data Centre),Full Time,Lagos
Senior Project Manager (Data Centres),Full Time,Ogun
Senior Mechanical Engineer (Data Centres),Full Time,Nigeria
Fire Engineer (MCF / Data Centres),Full Time,Lagos
Design Manager (Data Centres),Full Time,Lagos
Data Analyst - Dashboard Developer,Full Time,Lagos
Data Analytics Resource Person,Full Time,Lagos
International Social and Behaviour Change Data Contractor,Full Time,Lagos
"Business Head, Data Centre",Full Time,Lagos
Data Monetization Business Analyst,Full Time,Lagos
Data Centre Support Officer,Full Time,Lagos
SI Associate: Data Analysis,Full Time,Ogun
Trade Marketing Data Analyst,Full Time,Remote
Data-Driven Credit Collections Lead,Full Time,Nigeria
Data Processing Assistant,Full Time,Lagos
Data Assistant,Full Time,Abuja
Data Collector (Enumerator),Full Time,Lagos
Data Analyst,Full Time,Abuja
Senior Data Engineer,Full Time,Abia
Data Analyst Intern (NYSC),Full Time,Lagos
Customer Experience and Data Associate,Full Time,Abuja
Technical Product Manager (External Data Integration),Full Time,Lagos
Business Data Analyst,Full Time,Nigeria
Data Centre Service Analyst,Full Time,Lagos
Customer Experience Data Analyst,Full Time,Lagos
"Lead, Data and AI",Full Time,Lagos
Data & Analytics Director - Africa,Full Time,Lagos
Data Lead - Nigeria,Full Time,Lagos
"Lead, Data Assurance",Full Time,Lagos
Reward & HR Data Analyst,Full Time,Lagos
Analyst - Business Analytics Data Governance,Full Time,Lagos
Senior Risk Data Analyst,Full Time,
Data Engineer (Hybrid),Full Time,Lagos
Data Entry Analyst,Full Time,Ekiti
Senior Analyst - Data Management & Operations,Full Time,Lagos
Data Analyst - Dashboard Developer,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Analyst,Full Time,Rivers
"Team Lead, Data Management",Full Time,Lagos
Analyst - Data Governance,Full Time,Lagos
Data Centre Power System Technician,Full Time,Lagos
"Lead, Data Assurance",Full Time,Abuja
Data Scientist,Full Time,Lagos
Data and Consumer Insights Manager,Full Time,Lagos
GENIUS Data Intelligence Lead (f/m/d),Full Time,
OSS Data Entry Clerk,Full Time,Ebonyi
Data Quality Associate,Full Time,Lagos
Data Governance Associate,Full Time,
Data Privacy Associate,Full Time,Lagos
Volunteer (Collect data on Quality of education in Nigeria Case study productivity in Nigeria Universitiy),Full Time,
Lead Data Engineer,Full Time Remote,
Inventory Support / Data Informatics / Quality Improvement Officer,Full Time,Lagos
Data Analyst – Nigeria IHP,Full Time,Bauchi
Consultant - Data Cleaning,Full Time,Abuja
Data Engineer,Full Time,Abuja
Inventory Support / Data Informatics / Quality Improvement Officer,Full Time,
Data Analyst/Warehouse Officer,Full Time,Lagos
Data Collector,Full Time,
Senior Data Scientist,Full Time,Lagos
Data Analyst (NYSC),Full Time,Lagos
Data & Analytics Director - Africa,Full Time,Lagos
"Team Lead, Data Analytics",Full Time,Abuja
Data Analyst,Full Time,Lagos
"Principal, Business Development Lead (West, East Africa and Indian Ocean Islands) Data & Services",Full Time,Lagos
Senior Data Scientist,Full Time,Lagos
Data Monetization Business Analyst,Full Time,Abia
Data Monetization Associate,Full Time,Lagos
"SMC EoR Data Collector, LGA Supervisor",Full Time,Katsina
Data Scientist,Full Time,Lagos
Data Entry Clerk,Full Time,
Data Entry Officer,Full Time,Lagos
Data Analyst (Financial Services),Full Time,Abia
Compliance Risk Management Officer - West Africa Data Protection Officer (DPO),Full Time,Lagos
"Specialist, Data & VAS",Full Time,Lagos
Data Analyst,Full Time,Lagos
Product Owner (Data Analytics),Full Time,Lagos
Key Account Manager - Data Center,Full Time,
Data Entry Officer,Full Time,Lagos
Data Analyst - Task Order 7 - FCT,Full Time,Abuja
Data Entry Officer,Full Time,Abuja
"Data Analyst, Nigeria Monitoring Project",Full Time,Abuja
"Implementation Research and Data Officer, Maternal MMS, Nigeria",Full Time,Lagos
Data Analyst,Full Time,Lagos
Senior Data Engineer,Full Time,Lagos
Senior Data Scientist,Full Time,Lagos
Reward & HR Data Analytics Specialist,Full Time,Lagos
Data Processing & Computer Science Teacher,Full Time,Imo
Data Support Analyst II,Full Time,
Manager - Enterprise Master Data,Full Time,Lagos
"Nigeria Country Director, Data.FI",Full Time,Abuja
Data Scientist (Python),Full Time,Lagos
"Senior Engineer, Data Centre M & E",Full Time,Abuja
"Lead, Data Assurance",Full Time,Lagos
"Lead, Data Assurance",Full Time,Lagos
Data Processing Assistant (CONTISS 3),Full Time,Oyo
Customer Service Representative/Data Entry Officer,Full Time,Lagos
Data Scientist / Machine Learning Engineer,Full Time,Lagos
Cloud Solution Architect - Data & AI,Full Time,Lagos
Cloud Solution Architect - Data & AI,Full Time,Lagos
Senior Data Scientist,Full Time,Lagos
Data Modelling Specialist,Full Time,Lagos
Senior Data Engineer,Full Time,Lagos
Senior Data Scientist,Full Time,Lagos
Data Business Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
State Monitoring and Evaluation Officer / Data Manager,Full Time,Nigeria
Program Data Associate,Full Time,Abuja
"Lead, Data Assurance",Full Time,Lagos
Data Entry Officer,Full Time,Lagos
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Remote
"Senior Technical Advisor, Database Management, GIS, & Data Visualization",Full Time,Benue
Data Entry Clerk (Ad-Hoc),Contract,Lagos
Data Entry Operator,Full Time,Lagos
Senior Data Analyst and Scientist,Full Time,
"Senior Managing Consultant, Advisors Client Services, Data & Services",Full Time,Lagos
Data Entry/Clerk,Full Time,Kogi
Sales Data Analyst,Full Time,
Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Abuja
Data Engineer,Full Time,Benue
Compliance Risk Management Officer - West Africa Data Protection Officer (DPO),Full Time,Lagos
Senior Data Warehouse Architect,Full Time Remote,
"Senior Manager, Data Science",Full Time Remote,
Data and Business Intelligence Advisor,Full Time,Abuja
Senior Manager - Data and Analytics,Full Time,Lagos
"Nigeria Country Director, Data.FI",Full Time,Abuja
Data Engineer Graduate Trainee,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Abuja
Technical Applications and Data Engineer,Full Time,Lagos
Data Analyst - Nigeria IHP,Full Time,Abuja
